stakeholder goal,unique phrases,interviewer goal,from stakeholder,unmatched phrase,total turns,multi-turn goal,type errors,from interviewer,total phrases
,,,,,84,,,,
,,,,,84,,,,
2,5,0,5,,84,,,0,5
,,,,,84,,2,,
7,19,0,19,,84,,,0,19
,,,,,84,,2,,
,,,,,84,,2,,
4,4,0,4,,84,,,0,4
2,5,0,5,,84,,,0,5
2,7,0,7,1,84,2,,2,9
2,6,0,6,,84,,,0,6
3,8,0,8,,84,,,0,8
3,8,0,8,,84,,,0,8
1,7,2,5,,84,2,,2,7
2,5,0,2,,84,2,,3,5
3,6,0,6,,84,,,0,6
3,5,0,5,,84,,,0,5
5,9,0,9,,84,,,0,9
2,5,0,5,,84,,,0,5
3,5,0,5,,84,,,0,5
2,2,0,2,,84,,,0,2
2,3,0,3,,84,,,0,3
2,5,0,5,,84,,,0,5
1,5,1,4,,84,1,,1,5
,,,,,84,,2,,
,,,,,84,,,,
3,6,0,6,,84,,,0,6
,,,,,84,,2,,
2,6,1,4,,84,,,2,6
1,5,1,3,,84,1,,2,5
,,,,,84,,,,
,,,,,84,,,,
,,,,,84,,,,
,,,,,84,,,,
4,5,0,5,,84,,,0,5
3,5,0,5,,84,,,0,5
0,1,1,0,1,84,,,1,2
0,2,2,0,,84,,,2,2
,,,,,84,,,,
,,,,,84,,,,
,,,,,84,,,,
,,,,,84,,,,
3,3,0,3,3,50,,,0,6
4,5,0,5,1,50,,,0,6
6,11,0,13,1,50,,,0,13
5,9,0,9,1,50,,,0,10
1,8,0,10,2,50,,,0,11
6,9,0,9,,50,,,0,9
1,3,0,5,2,50,,,0,6
3,9,0,9,,50,,,0,9
2,5,0,5,,50,,,0,5
2,6,0,6,3,50,,,0,9
4,7,0,7,2,50,,,0,9
4,4,0,4,1,50,,,0,5
3,3,0,3,,50,,,0,3
1,3,0,3,1,50,,,0,4
1,2,0,2,6,50,,,0,8
1,5,0,5,2,50,,,0,7
2,3,0,3,,50,,,0,3
2,3,0,3,1,50,,,0,4
3,8,0,13,1,50,,,0,11
4,9,0,9,1,50,,,0,10
4,8,0,8,2,50,,,0,10
4,7,0,7,,50,,,0,7
2,3,0,3,1,50,,,0,4
3,3,0,3,1,50,,,0,4
,,,,,50,,,,
5,10,0,10,,27,,,0,10
7,12,0,12,,27,,,0,12
7,15,0,15,1,27,,,0,16
5,22,0,22,2,27,,,0,24
7,12,0,12,,27,,,0,12
3,5,0,5,,27,,,0,5
2,5,0,5,,27,,,0,5
3,7,0,7,,27,,,0,7
5,10,0,10,,27,,,0,10
2,3,0,3,,27,,,0,3
4,4,0,4,,27,,,0,4
2,3,0,3,,27,,,0,3
,,,,,27,,,,
,,,,,27,,,,
,,,,,191,,,,
,,,,,191,,,,
,,,,,191,,,,
,,,,,191,,,,
,,,,,191,,,,
,,,,,191,,,,
,,,,,191,,,,
2,4,0,4,,191,,,0,4
,,,,,191,,,,
4,6,0,6,1,191,,,0,7
4,5,0,5,,191,,,0,5
