total phrases,total turns,interviewer goal,goal mismatch,no phrases,unmatched phrase,multi-turn goal,unique phrases,from interviewer,from stakeholder,stakeholder goal
,84,,,,,,,,,
2,84,0,,,,,2,0,2,2
4,84,0,,,,,4,0,4,2
3,84,0,,,,,3,0,3,1
8,84,0,,,,,8,0,8,8
3,84,0,,,,,3,0,3,1
10,84,0,,,,1,10,1,9,6
6,84,0,,,,,6,0,6,4
8,84,0,,,,1,7,1,8,3
4,84,0,,,,1,4,2,2,1
2,84,0,,,,,2,0,2,1
7,84,0,,,,,7,0,7,3
3,84,0,,,,,3,0,3,1
5,84,0,,,,,5,0,5,3
,84,,,,,,,,,
5,84,0,,,,,5,0,5,5
4,84,0,,,,,4,0,4,4
2,84,0,,,,,2,0,2,1
5,84,0,,,,,5,0,5,4
3,84,0,,,,,3,0,3,3
3,84,0,,,,,3,0,3,3
6,84,0,,,,,6,0,6,3
10,84,0,,,,,10,0,10,3
4,84,1,,,,1,4,1,3,0
2,84,0,,,,1,2,1,1,1
,84,,,,,,,,,
5,84,0,,,,,5,0,5,4
5,84,1,,,,1,5,1,4,2
2,84,0,,,,,2,0,2,1
2,84,1,,,,1,2,1,1,0
,84,,,,,,,,,
,84,0,1,1,,,,,,0
,84,,,,,,,,,
3,84,0,,,,1,3,1,2,2
6,84,0,,,,,6,0,6,3
6,84,1,,,,,6,1,5,3
5,84,4,,,,,5,5,0,0
,84,,,,,,,,,
,84,,,,,,,,,
,84,,,,,,,,,
,84,,,,,,,,,
,84,,,,,,,,,
15,50,0,,,1,,14,0,14,7
15,50,0,,,,,15,0,15,8
17,50,0,,,1,,16,0,16,6
14,50,0,,,,,14,0,14,7
9,50,0,,,,,9,0,9,4
15,50,0,,,,,15,0,15,8
11,50,0,,,,,11,0,11,5
7,50,0,,,1,,6,0,6,2
5,50,0,,,1,,4,0,4,1
8,50,0,,,,,8,0,8,5
11,50,0,,,1,,10,0,10,6
7,50,0,,,,,7,0,7,6
9,50,0,,,1,,8,0,8,5
11,50,0,,,,,11,0,11,5
16,50,0,,,3,1,13,1,12,3
9,50,0,,,4,,5,0,5,1
2,50,0,,,,,2,0,2,1
2,50,0,,,,,2,0,2,2
15,50,0,,,2,1,12,1,13,6
4,50,0,,,,,3,0,5,1
14,50,0,,,,,13,0,15,8
1,50,0,,,,,1,0,1,1
1,50,0,,,,,1,0,1,1
5,50,0,,,,,5,0,5,3
,50,,,,,,,,,
16,27,0,,,,,16,0,16,8
19,27,0,,,,,19,0,19,11
18,27,0,,,,,18,0,18,12
24,27,0,,,,,24,0,24,12
26,27,0,,,,,26,0,26,14
9,27,0,,,,,9,0,9,5
9,27,0,,,,,9,0,9,4
6,27,0,,,,,6,0,6,2
4,27,0,,,,,4,0,4,4
2,27,0,,,,,2,0,2,1
5,27,0,,,,,5,0,5,5
4,27,1,,,,1,4,1,3,2
,27,,,,,,,,,
,27,,,,,,,,,
,191,,,,,,,,,
